run_id,generation,best_fitness,avg_fitness,cumulative_ul_nfe,cumulative_ll_nfe
1,0,1.8200942330739094,100,100,66300
1,1,1.8200942330739094,200,200,67600
1,2,1.8200942330739094,300,300,68900
1,3,1.8200942330739094,400,400,70200
1,4,1.8200942330739094,500,500,71500
1,5,1.8200942330739094,600,600,72800
1,6,1.8200942330739094,700,700,74100
1,7,1.8200942330739094,800,800,75400
1,8,1.8200942330739094,900,900,76700
1,9,1.8200942330739094,1000,1000,78000
1,10,1.8200942330739094,1100,1100,79300
1,11,1.8200942330739094,1200,1200,80600
1,12,1.5050863366780565,1300,1300,81900
1,13,1.1794279815117217,1400,1400,83200
1,14,0.9580119048876424,1500,1500,84500
1,15,0.8148603871277978,1600,1600,85800
1,16,0.5644993147701471,1700,1700,87100
1,17,0.51810651821802,1800,1800,88400
1,18,0.46237072276240093,1900,1900,89700
1,19,0.3188303820526187,2000,2000,91000
1,20,0.3188303820526187,2100,2100,92300
1,21,0.25502994616978797,2200,2200,93600
1,22,0.13801884150928068,2300,2300,94900
1,23,0.12749042121695162,2400,2400,96200
1,24,0.05852380657727785,2500,2500,97500
1,25,0.04952915951404559,2600,2600,98800
1,26,0.03300445876826847,2700,2700,100100
1,27,0.020923993766304876,2800,2800,101400
1,28,0.005828284757582633,2900,2900,102700
1,29,0.004864154618797759,3000,3000,104000
1,30,0.0036848558721814576,3100,3100,105300
1,31,0.0017966233380814567,3200,3200,106600
1,32,0.0005723288637902568,3300,3300,107900
1,33,0.0005723288637902568,3400,3400,109200
1,34,0.0005723288637902568,3500,3500,110500
1,35,0.0005723288637902568,3600,3600,111800
1,36,0.0005723288637902568,3700,3700,113100
1,37,0.0005723288637902568,3800,3800,114400
1,38,0.0005723288637902568,3900,3900,115700
1,39,0.00041702546531595744,4000,4000,117000
1,40,0.00041702546531595744,4100,4100,118300
1,41,0.00041702546531595744,4200,4200,119600
1,42,0.00041702546531595744,4300,4300,120900
1,43,0.00041702546531595744,4400,4400,122200
1,44,0.00012886595779004764,4500,4500,123500
1,45,0.00012886595779004764,4600,4600,124800
1,46,0.00012886595779004764,4700,4700,126100
1,47,0.00012886595779004764,4800,4800,127400
1,48,0.00012886595779004764,4900,4900,128700
1,49,0.00012886595779004764,5000,5000,130000
